frame,x,y
25,1252,437
26,1252,437
42,857,262
52,933,382
53,947,360
54,952,350
57,979,326
58,989,315
59,1000,302
60,1011,295
61,1021,288
62,1021,288
63,1027,280
64,1036,275
65,1043,270
66,1048,269
67,1053,267
68,1053,267
69,1058,268
70,1064,267
71,1069,271
72,1073,276
73,1077,283
74,1077,283
75,1079,293
76,1081,305
77,1081,319
78,1083,334
79,1083,350
80,1083,349
81,1082,368
82,1081,391
83,1082,411
84,1079,430
85,1066,426
86,1067,427
87,1052,410
88,1037,394
89,1024,384
90,1011,373
91,995,364
92,995,364
93,981,362
94,964,355
95,950,352
96,936,352
97,921,351
98,921,351
99,907,352
101,1079,425
102,1146,456
103,1217,490
104,1217,490
105,1283,527
114,1459,537
115,1449,510
116,1449,510
117,1441,483
118,1429,459
119,1422,439
124,1400,370
125,1396,361
127,1389,343
128,1389,343
129,1386,336
130,1382,331
131,1379,329
132,1377,327
133,1374,329
134,1375,328
137,1368,338
139,1367,351
140,1367,351
